date,t,s,i,r
2020-07-12,139,57165132.51788191,17783.878712821424,2817083.6034052377
2020-07-13,140,57165033.60120865,16653.319491164668,2818313.0793001535
2020-07-14,141,57164943.76299428,15591.940984524808,2819464.296021157
2020-07-15,142,57164862.18388742,14595.764407889652,2820542.051704652
2020-07-16,143,57164788.11680986,13661.015553434543,2821550.8676366704
2020-07-17,144,57164720.88078192,12784.116634453863,2822495.0025835917
2020-07-18,145,57164659.85525222,11961.67821228751,2823378.4665354593
2020-07-19,146,57164604.4748951,11190.491222288216,2824205.033882588
2020-07-20,147,57164554.22483381,10467.519183813562,2824978.255982346
2020-07-21,148,57164508.63626404,9789.890491126811,2825701.473244808
2020-07-22,149,57164467.282433994,9154.890940151145,2826377.8266258314
2020-07-23,150,57164429.77497193,8559.956408539183,2827010.2686195048
2020-07-24,151,57164395.76051555,8002.665771514258,2827601.5737129133
2020-07-25,152,57164364.91763103,7480.734011316634,2828154.348357631
2020-07-26,153,57164336.9539939,6992.005550388296,2828671.040455687
2020-07-27,154,57164311.60380741,6534.447829951181,2829153.948362612
2020-07-28,155,57164288.62545021,6106.1450873135245,2829605.2294624546
2020-07-29,156,57164267.799316056,5705.292393577459,2830026.908290342
2020-07-30,157,57164248.9258525,5330.189896901163,2830420.884250568
2020-07-31,158,57164231.823759735,4979.237327407479,2830788.9389128285
2020-08-01,159,57164216.3283543,4650.928705538019,2831132.742940127
2020-08-02,160,57164202.290071405,4343.847286256388,2831453.8626423036
2020-08-03,161,57164189.573099814,4056.6607245362156,2831753.7661756105
2020-08-04,162,57164178.05414008,3788.116453254191,2832033.8294066223
2020-08-05,163,57164167.621266454,3537.0372853806725,2832295.341448126
2020-08-06,164,57164158.17289689,3302.3172068578465,2832539.509896217
2020-08-07,165,57164149.61684869,3082.9173840295807,2832767.4657672397
2020-08-08,166,57164141.869483635,2877.86235540361,2832980.2681609266
2020-08-09,167,57164134.85492415,2686.2364195723044,2833178.908656237
2020-08-10,168,57164128.50434454,2507.180198196494,2833364.3154572267
2020-08-11,169,57164122.755323,2339.8873795032177,2833537.357297462
2020-08-12,170,57164117.551253706,2183.6016272355664,2833698.8471190194
2020-08-13,171,57164112.84081125,2037.6136513792887,2833849.5455373246
2020-08-14,172,57164108.577463225,1901.2584349519154,2833990.1641017837
2020-08-15,173,57164104.71902853,1773.912608074722,2834121.368363354
2020-08-16,174,57164101.22727372,1654.991966934128,2834243.7807593117
2020-08-17,175,57164098.06754869,1543.9491246612538,2834357.983326616
2020-08-18,176,57164095.20845285,1440.2712952495353,2834464.5202518683
2020-08-19,177,57164092.62153463,1343.4781983731748,2834563.9002669603
2020-08-20,178,57164090.28101604,1253.1200839342846,2834656.5988999936
2020-08-21,179,57164088.16354454,1168.7758668573822,2834743.0605885717
2020-08-22,180,57164086.24796628,1090.051369701628,2834823.700663987
2020-08-23,181,57164084.51512117,1016.5776656137023,2834898.907213186
2020-08-24,182,57164082.947656155,948.0095173077403,2834969.0428265054
2020-08-25,183,57164081.529856496,884.0239069966493,2835034.4462364744
2020-08-26,184,57164080.24749314,824.3186524752398,2835095.433854357
2020-08-27,185,57164079.08768079,768.6111060464715,2835152.301213139
2020-08-28,186,57164078.038754836,716.6369280061823,2835205.32431713
2020-08-29,187,57164077.09015487,668.1489371344858,2835254.760907965
2020-08-30,188,57164076.232320696,622.9160262969899,2835300.8516529826
2020-08-31,189,57164075.45659872,580.7221448567064,2835343.8212563978
2020-09-01,190,57164074.755157396,541.3653468101083,2835383.8794957697
2020-09-02,191,57164074.12090707,504.6568868812956,2835421.2222060245
2020-09-03,192,57164073.54743336,470.42038497500357,2835456.0321816425
2020-09-04,193,57164073.02893089,438.4910302936148,2835488.4800387984
2020-09-05,194,57164072.56014622,408.7148405748743,2835518.7250131853
2020-09-06,195,57164072.13632702,380.94796864591706,2835546.9157043095
2020-09-07,196,57164071.753172085,355.0560438774498,2835573.190784015
2020-09-08,197,57164071.40679135,330.91356691522043,2835597.679641717
2020-09-09,198,57164071.09366471,308.4033299124545,2835620.503005353
2020-09-10,199,57164070.81060805,287.4158819279494,2835641.7735099993
2020-09-11,200,57164070.554741405,267.8490250965439,2835661.5962334764
2020-09-12,201,57164070.32345902,249.60733933694056,2835680.069201624
2020-09-13,202,57164070.11440489,232.60174540048567,2835697.283849692
2020-09-14,203,57164069.92544742,216.74908526235902,2835713.3254672936
2020-09-15,204,57164069.754659176,201.9717384802498,2835728.273602325
2020-09-16,205,57164069.600297004,188.19725765645248,2835742.2024453147
2020-09-17,206,57164069.460784234,175.35802762935808,2835755.18118811
2020-09-18,207,57164069.334695585,163.39095098372232,2835767.2743534027
2020-09-19,208,57164069.220741756,152.23714625969745,2835778.5421119593
2020-09-20,209,57164069.11775726,141.84167365682802,2835789.040569051
2020-09-21,210,57164069.02468818,132.15327233261485,2835798.8220394636
2020-09-22,211,57164068.940581486,123.12411744680567,2835807.935301042
2020-09-23,212,57164068.86457579,114.70959413504734,2835816.4258300494
2020-09-24,213,57164068.795892015,106.86808187811296,2835824.336026077
2020-09-25,214,57164068.73382609,99.56075878012317,2835831.705415092
2020-09-26,215,57164068.67774137,92.75141304621037,2835838.57084555
2020-09-27,216,57164068.62706233,86.40627051843622,2835844.966667121
2020-09-28,217,57164068.581268795,80.4938325033841,2835850.92489867
2020-09-29,218,57164068.53989041,74.98472254277789,2835856.4753870154
2020-09-30,219,57164068.50250218,69.85154693325279,2835861.645950858
2020-10-01,220,57164068.4687198,65.06876002323064,2835866.4625201384
2020-10-02,221,57164068.43819601,60.61254210612882,2835870.9492618465
2020-10-03,222,57164068.41061691,56.460683346430464,2835875.1286997055
2020-10-04,223,57164068.38569874,52.59247534425705,2835879.0218258817
2020-10-05,224,57164068.36318512,48.98861179753409,2835882.6482030493
2020-10-06,225,57164068.342844255,45.63109269622283,2835886.0260630157
2020-10-07,226,57164068.32446672,42.50313798523712,2835889.1723952633
2020-10-08,227,57164068.30786322,39.589104697487166,2835892.103032051
2020-10-09,228,57164068.29286267,36.87441050092826,2835894.8327267976
2020-10-10,229,57164068.2793105,34.345462917755306,2835897.3752265447
2020-10-11,230,57164068.267066985,31.989591538915604,2835899.743341435
2020-10-12,231,57164068.256005906,29.794986979031094,2835901.9490070795
2020-10-13,232,57164068.24601316,27.750641888733817,2835904.0033449186
2020-10-14,233,57164068.236985646,25.846297191127615,2835905.9167171237
2020-10-15,234,57164068.22883024,24.072391650804303,2835907.698778071
2020-10-16,235,57164068.22146274,22.420014126102377,2835909.3585230936
2020-10-17,236,57164068.21480711,20.88086038359185,2835910.904332468
2020-10-18,237,57164068.208794616,19.447191248158695,2835912.3440141026
2020-10-19,238,57164068.20336315,18.111794835230025,2835913.6848419774
2020-10-20,239,57164068.19845662,16.867950673304588,2835914.9335926664
2020-10-21,240,57164068.194024324,15.709396164340156,2835916.0965794716
2020-10-22,241,57164068.190020464,14.630296014574583,2835917.179683481
2020-10-23,242,57164068.186403655,13.625212653022198,2835918.188383656
2020-10-24,243,57164068.1831365,12.689079701557297,2835919.1277837614
2020-10-25,244,57164068.18018522,11.817176495526304,2835920.0026382427
2020-10-26,245,57164068.17751931,11.005104584649516,2835920.8173760744
2020-10-27,246,57164068.17511117,10.248766063667444,2835921.57612273
2020-10-28,247,57164068.1729359,9.544342754554979,2835922.282721304
2020-10-29,248,57164068.170971006,8.888277550461176,2835922.940751406
2020-10-30,249,57164068.16919614,8.277256360405975,2835923.553547461
2020-10-31,250,57164068.167592935,7.708191674608069,2835924.124215348
2020-11-01,251,57164068.1661448,7.17820718751201,2835924.655647965
2020-11-02,252,57164068.16483675,6.684623206512786,2835925.150539999
2020-11-03,253,57164068.16365523,6.22494351161971,2835925.61140121
2020-11-04,254,57164068.162588015,5.796842596415315,2835926.040569341
2020-11-05,255,57164068.161624044,5.3981541766957415,2835926.440221728
2020-11-06,256,57164068.16075335,5.026860288737762,2835926.812386318
2020-11-07,257,57164068.159966886,4.6810810834570775,2835927.158951982
2020-11-08,258,57164068.159256525,4.359065559366911,2835927.4816778665
2020-11-09,259,57164068.1586149,4.059182574549386,2835927.782202475
2020-11-10,260,57164068.158035375,3.7799128063927103,2835928.0620517777
2020-11-11,261,57164068.15751192,3.5198410324379132,2835928.322647003
2020-11-12,262,57164068.15703912,3.2776490056011083,2835928.565311824
2020-11-13,263,57164068.15661208,3.052108906051122,2835928.7912789606
2020-11-14,264,57164068.156226374,2.8420770341687764,2835929.0016965396
2020-11-15,265,57164068.155878,2.646488175643664,2835929.1976337736
2020-11-16,266,57164068.15556334,2.464350145316306,2835929.380086459
2020-11-17,267,57164068.155279145,2.2947388203398416,2835929.5499819834
2020-11-18,268,57164068.15502246,2.1367935047925015,2835929.708183988
2020-11-19,269,57164068.15479062,1.9897125212488727,2835929.8554968135
2020-11-20,270,57164068.15458122,1.8527492526854459,2835929.9926694804
2020-11-21,271,57164068.15439209,1.7252082951911685,2835930.120399565
2020-11-22,272,57164068.154221274,1.6064419948550683,2835930.2393366834
2020-11-23,273,57164068.154066995,1.4958471679583456,2835930.3500857907
2020-11-24,274,57164068.153927654,1.392862025042046,2835930.4532102775
2020-11-25,275,57164068.1538018,1.2969633859945267,2835930.54923477
2020-11-26,276,57164068.153688125,1.2076639747951046,2835930.6386478487
2020-11-27,277,57164068.153585464,1.124510002379311,2835930.721904483
2020-11-28,278,57164068.15349274,1.0470788482396054,2835930.799428359
2020-11-29,279,57164068.153409004,0.9749769175352356,2835930.871614034
2020-11-30,280,57164068.153333366,0.9078376772972742,2835930.938828909
2020-12-01,281,57164068.15326505,0.8453197609111402,2835931.0014151363
2020-12-02,282,57164068.15320336,0.7871052777755012,2835931.0596913155
2020-12-03,283,57164068.15314764,0.7328981768608658,2835931.113954138
2020-12-04,284,57164068.15309732,0.6824227556752909,2835931.1644798853
2020-12-05,285,57164068.15305186,0.6354222722404156,2835931.2115258207
2020-12-06,286,57164068.15301081,0.5916576221120331,2835931.2553315214
2020-12-07,287,57164068.152973734,0.5509061531645069,2835931.2961200653
2020-12-08,288,57164068.15294025,0.512960513017005,2835931.33409919
2020-12-09,289,57164068.15291001,0.47762761122097686,2835931.369462333
2020-12-10,290,57164068.152882695,0.444727638276429,2835931.4023896186
2020-12-11,291,57164068.15285803,0.41409314381842316,2835931.4330487805
2020-12-12,292,57164068.15283575,0.3855682039573352,2835931.4615959986
2020-12-13,293,57164068.15281563,0.3590076115817927,2835931.4881767114
2020-12-14,294,57164068.15279746,0.3342761531341383,2835931.5129263415
2020-12-15,295,57164068.15278105,0.3112479158402164,2835931.5359709905
2020-12-16,296,57164068.15276622,0.2898056462639122,2835931.557428082
2020-12-17,297,57164068.15275284,0.26984016396321864,2835931.5774069508
2020-12-18,298,57164068.15274075,0.251249794531509,2835931.59600941
2020-12-19,299,57164068.15272983,0.23393986456749016,2835931.613330259
2020-12-20,300,57164068.15271997,0.21782221304586116,2835931.629457772
2020-12-21,301,57164068.15271106,0.20281474548212888,2835931.644474145
2020-12-22,302,57164068.15270302,0.18884101993604305,2835931.658455914
2020-12-23,303,57164068.15269575,0.17582985156435227,2835931.6714743464
2020-12-24,304,57164068.15268919,0.1637149589490821,2835931.6835957994
2020-12-25,305,57164068.152683266,0.15243462013875786,2835931.694882063
2020-12-26,306,57164068.152677916,0.14193136267168438,2835931.7053906713
2020-12-27,307,57164068.15267308,0.13215167117731433,2835931.7151751956
2020-12-28,308,57164068.15266872,0.12304571205111478,2835931.724285519
2020-12-29,309,57164068.15266478,0.1145670852409554,2835931.7327680876
2020-12-30,310,57164068.15266122,0.10667258270812495,2835931.74066615
2020-12-31,311,57164068.152658,0.09932197263600635,2835931.748019975
2021-01-01,312,57164068.152655095,0.09247779304572117,2835931.7548670582
2021-01-02,313,57164068.15265247,0.08610516033202502,2835931.761242313
2021-01-03,314,57164068.15265011,0.08017159464709586,2835931.7671782468
2021-01-04,315,57164068.152647965,0.07464685080658374,2835931.7727051293
2021-01-05,316,57164068.152646035,0.0695027677544241,2835931.777851144
2021-01-06,317,57164068.15264429,0.06471312304828059,2835931.782642533
2021-01-07,318,57164068.15264271,0.06025350023648321,2835931.787103731
2021-01-08,319,57164068.1526413,0.056101165238593396,2835931.791257489
2021-01-09,320,57164068.15264001,0.05223494695787294,2835931.7951249927
2021-01-10,321,57164068.152638845,0.04863513437704529,2835931.7987259654
2021-01-11,322,57164068.1526378,0.04528337488015757,2835931.8020787733
2021-01-12,323,57164068.152636856,0.04216257781707477,2835931.8052005167
2021-01-13,324,57164068.152636,0.03925683163244375,2835931.8081071177
2021-01-14,325,57164068.152635224,0.03655132010745958,2835931.8108134014
2021-01-15,326,57164068.15263453,0.03403224618182807,2835931.8133331724
2021-01-16,327,57164068.1526339,0.031686765425305304,2835931.815679283
2021-01-17,328,57164068.15263333,0.029502916903012592,2835931.8178637
2021-01-18,329,57164068.15263282,0.027469563042096887,2835931.819897567
2021-01-19,330,57164068.152632356,0.02557633525936058,2835931.8217912586
2021-01-20,331,57164068.15263193,0.023813577985002665,2835931.823554435
2021-01-21,332,57164068.15263155,0.022172300993033352,2835931.82519609
2021-01-22,333,57164068.15263121,0.020644134127478637,2835931.8267245986
2021-01-23,334,57164068.1526309,0.019221282680662876,2835931.8281477583
2021-01-24,335,57164068.15263063,0.017896489666520236,2835931.82947283
2021-01-25,336,57164068.152630374,0.016662998368048677,2835931.830706573
2021-01-26,337,57164068.15263014,0.01551451677641292,2835931.8318552817
2021-01-27,338,57164068.15262994,0.014445187140735513,2835931.8329248168
2021-01-28,339,57164068.152629755,0.013449555100441426,2835931.8339206344
2021-01-29,340,57164068.15262959,0.012522541607982034,2835931.834847815
2021-01-30,341,57164068.152629435,0.01165941834946575,2835931.8357110894
2021-01-31,342,57164068.1526293,0.010855782345320808,2835931.836514862
2021-02-01,343,57164068.152629174,0.010107533776407768,2835931.8372632335
2021-02-02,344,57164068.15262906,0.009410855980446931,2835931.8379600225
2021-02-03,345,57164068.152628966,0.008762194800056942,2835931.8386087846
2021-02-04,346,57164068.152628876,0.00815824104145183,2835931.8392128292
2021-02-05,347,57164068.152628794,0.0075959138275796595,2835931.839775238
2021-02-06,348,57164068.15262871,0.007072344148049066,2835931.8402988827
2021-02-07,349,57164068.152628645,0.006584860939897806,2835931.8407864324
2021-02-08,350,57164068.152628586,0.0061309773009178455,2835931.8412403767
2021-02-09,351,57164068.15262853,0.0057083773984214535,2835931.8416630314
2021-02-10,352,57164068.15262848,0.005314905276706175,2835931.842056553
2021-02-11,353,57164068.15262844,0.004948553481477877,2835931.842422949
2021-02-12,354,57164068.1526284,0.0046074527169692615,2835931.84276409
2021-02-13,355,57164068.15262836,0.004289862788102804,2835931.843081716
2021-02-14,356,57164068.15262833,0.003994163259511288,2835931.843377448
2021-02-15,357,57164068.1526283,0.0037188452865525015,2835931.843652796
2021-02-16,358,57164068.15262827,0.0034625042496202185,2835931.843909164
2021-02-17,359,57164068.15262824,0.00322383213700028,2835931.84414786
2021-02-18,360,57164068.15262823,0.0030016111477866765,2835931.844370103
2021-02-19,361,57164068.152628206,0.0027947074569313877,2835931.844577026
2021-02-20,362,57164068.15262819,0.0026020652679922757,2835931.844769686
2021-02-21,363,57164068.152628176,0.002422701719038886,2835931.8449490657
2021-02-22,364,57164068.15262816,0.002255701660695828,2835931.8451160803
