date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-05-22,88,49427.4472475875,92519.86338145296,104837.87218107503,118776.15190741651,
2020-05-23,89,47655.33063591217,92347.27798308544,105364.07132236172,120192.60431152274,
2020-05-24,90,45946.612957351,92172.90022101325,105889.5619707376,121620.73210549972,
2020-05-25,91,44299.03575728888,91996.74614896115,106414.291891663,123060.49084988091,
2020-05-26,92,42710.42023436394,91818.83191887925,106938.20846850074,124511.83152987958,
2020-05-27,93,41178.66465372577,91639.17377755087,107461.25871768821,125974.70045690639,
2020-05-28,94,39701.74169491778,91457.78806320071,107983.38929537493,127449.03917388983,
2020-05-29,95,38277.69564882265,91274.6912021028,108504.54650412027,128934.7843558378,
2020-05-30,96,36904.64007707077,91089.89971813421,109024.67634387517,130431.86771081504,
2020-05-31,97,35580.75544107093,90903.43026040168,109543.72450161121,131940.2158807364,
2020-06-01,98,34304.28660997809,90715.2995332547,110061.636317357,133459.75042774758,
2020-06-02,99,33073.540702320075,90525.52431809904,110578.35681729567,134990.387705142,
2020-06-03,100,31886.88496828527,90334.1214735779,111093.83072158693,136532.03869681156,
2020-06-04,101,30742.744541041742,90141.10793259525,111608.00245218893,138084.6089619154,
2020-06-05,102,29639.600472583672,89946.50069933914,112120.81618134979,139647.99853997628,
2020-06-06,103,28575.987851227517,89750.31684630517,112632.21584339206,141222.10186766277,
2020-06-07,104,27550.49377274487,89552.57351315637,113142.14507778961,142806.80780791934,
2020-06-08,105,26561.75554447723,89353.28791128613,113650.54727187085,144401.99942801302,
2020-06-09,106,25608.459014344615,89152.47730741852,114157.36557010534,146007.55392177447,
2020-06-10,107,24689.33674906513,88950.15902478673,114662.54288326832,147623.34254395284,
2020-06-11,108,23803.166398952162,88746.35044127326,115166.02193478502,149249.23052410787,
2020-06-12,109,22948.76920151588,88541.06898651645,115667.74526334043,150885.07702078987,
2020-06-13,110,22125.008358702224,88334.33213901724,116167.65520990248,152530.7351244165,
2020-06-14,111,21330.787529494217,88126.15742324578,116665.6939160544,154186.05162808727,
2020-06-15,112,20565.04950003095,87916.56240734157,117161.80335225858,155850.86700472338,
2020-06-16,113,19826.774768235617,87705.56470430065,117655.92532773367,157525.01533723384,
2020-06-17,114,19114.980150006813,87493.18196282351,118148.00152937051,159208.32424507165,
2020-06-18,115,18428.717528379468,87279.43186581686,118637.97357166691,160900.61491314165,
2020-06-19,116,17767.0725835035,87064.33212828379,119125.78290212218,162601.70200513848,
2020-06-20,117,17129.1636546692,86847.9004944711,119611.37085853814,164311.39350264412,
2020-06-21,118,16514.1406102034,86630.15473501675,120094.67868436444,166029.4906999752,
2020-06-22,119,15921.183619572374,86411.11264409704,120575.64754143519,167755.7881465714,
2020-06-23,120,15349.502110525927,86190.79204045402,121054.21852299396,169490.0735990685,
2020-06-24,121,14798.333811429547,85969.21075907302,121530.33266700753,171232.1281346435,
2020-06-25,122,14266.943668515594,85746.38666160662,122003.93096976799,172981.72592622458,
2020-06-26,123,13754.622878715434,85522.33761458434,122474.95443571189,174738.63422802425,
2020-06-27,124,13260.68798183806,85297.08149521405,122943.34409905713,176502.61335709723,
2020-06-28,125,12784.479967249688,85070.6361885591,123409.04096631949,178273.4166590184,
2020-06-29,126,12325.363375432826,84843.01958472606,123871.98607021153,180050.790529383,
2020-06-30,127,11882.725469394403,84614.24957606268,124332.12048639967,181834.47452404755,
2020-07-01,128,11455.97544155763,84384.34405499743,124789.38535018334,183624.2010982353,
2020-07-02,129,11044.543618003794,84153.32092567018,125243.72187352653,185419.69567766236,
2020-07-03,130,10647.88070557943,83921.19808408602,125695.0713624417,187220.67666055277,
2020-07-04,131,10265.457070696124,83687.99341438811,126143.37523454639,189026.85541373224,
2020-07-05,132,9896.76203951382,83453.72479106438,126588.57491892386,190837.9362734094,
2020-07-06,133,9541.303214436959,83218.41007640205,127030.6119387342,192653.6165950634,
2020-07-07,134,9198.60582367979,82982.06711796093,127469.42803361024,194473.58694790397,
2020-07-08,135,8868.21210480216,82744.71374606545,127904.9651028003,196297.53086558706,
2020-07-09,136,8549.680685414272,82506.36777131539,128337.16522159368,198125.12495827535,
2020-07-10,137,8242.58599750976,82267.04698211537,128765.97065794667,199956.0389732349,
2020-07-11,138,7946.517720625149,82026.76914222297,129191.32388930919,201789.93584392083,
2020-07-12,139,7661.080237921178,81785.5519981896,129613.16761965193,203626.471746873,
2020-07-13,140,7385.892100266262,81543.4132774011,130031.44479460968,205465.29613720326,
2020-07-14,141,7120.585520584279,81300.37066657252,130446.09853672633,207306.05162964165,
2020-07-15,142,6864.805897655881,81056.44182019362,130857.07224274335,209148.37432451863,
2020-07-16,143,6618.211348634617,80811.64435848537,131264.30962299198,210991.8938351215,
2020-07-17,144,6380.472235503444,80565.99586528585,131667.7546867158,212836.23334751514,
2020-07-18,145,6151.270732224148,80319.5138859643,132067.3517585013,214681.00971517435,
2020-07-19,146,5930.300410419081,80072.21592536318,132463.0454948206,216525.83356182394,
2020-07-20,147,5717.265835124478,79824.11944576832,132854.78090068695,218370.3093745222,
2020-07-21,148,5511.882156791889,79575.24186490715,133242.50334642208,220214.03543280764,
2020-07-22,149,5313.874735673947,79325.60055314309,133626.1585802569,222056.6041492849,
2020-07-23,150,5122.978784139122,79075.21282822639,134005.69269025672,223897.6021751047,
2020-07-24,151,4938.9390184957565,78824.0959595074,134381.05219145096,225736.61049890262,
2020-07-25,152,4761.509303742473,78572.26716403953,134752.18403669674,227573.20458891088,
2020-07-26,153,4590.452329673726,78319.74360419395,135119.03561946916,229406.95454321775,
2020-07-27,154,4425.539301072502,78066.54238577401,135481.5547901465,231237.42524155808,
2020-07-28,155,4266.549637307229,77812.68055615546,135839.68987235162,233064.17638949852,
2020-07-29,156,4113.2706649134525,77558.17510245267,136193.389679349,234886.76281061603,
2020-07-30,157,3965.497337581693,77303.0429497107,136542.6035304981,236704.73463215432,
2020-07-31,158,3823.031967700473,77047.30095912305,136887.28125795786,238517.63743998704,
2020-08-01,159,3685.683966957755,76790.96592633384,137227.3731674554,240325.01247138096,
2020-08-02,160,3553.2695805444587,76534.05458174009,137562.83014270398,242126.3968158768,
2020-08-03,161,3425.6116448379325,76276.58358659717,137893.6036387369,243921.3236208527,
2020-08-04,162,3302.5393554497896,76018.5695309137,138219.6456885191,245709.32217834026,
2020-08-05,163,3183.8880438913607,75760.02893260577,138540.90891847224,247489.91825090573,
2020-08-06,164,3069.4989466788306,75500.97823589813,138857.34656399515,249262.63433645378,
2020-08-07,165,2959.218996296571,75241.43380975224,139168.9124849787,251026.98985997515,
2020-08-08,166,2852.900620259897,74981.41194632156,139475.56118131586,252782.50141476476,
2020-08-09,167,2750.4015482249692,74720.92885943381,139777.2477935677,254528.683011285,
2020-08-10,168,2651.584612614254,74460.00068310034,140073.9280527608,256265.04633237227,
2020-08-11,169,2556.3175677369736,74198.6434700525,140365.55842425078,257991.1008457985,
2020-08-12,170,2464.4729160180304,73936.87319199409,140652.09606126897,259706.35415723792,
2020-08-13,171,2375.9277417469725,73674.70573880861,140933.49882234266,261410.31237070242,
2020-08-14,172,2290.5635383097883,73412.15691308756,141209.7252852624,263102.4802991151,
2020-08-15,173,2208.2660519588862,73149.24243092626,141480.73476101662,264782.3617468309,
2020-08-16,174,2128.9251314874346,72885.97792068105,141746.4873076865,266449.45979865757,
2020-08-17,175,2052.434584848393,72622.37892171169,142006.94374429315,268103.2771152966,
2020-08-18,176,1978.6920296696644,72358.4608831523,142262.0656322912,269743.3160837971,
2020-08-19,177,1907.5987582519995,72094.23916271156,142511.81526094847,271369.0791564782,
2020-08-20,178,1839.0596075008605,71829.72902550145,142756.15576044642,272980.06931253424,
2020-08-21,179,1772.9828351954484,71564.94564289514,142995.05106714473,274575.79027482524,
2020-08-22,180,1709.2799907606238,71299.90409165827,143228.46593360463,276155.746822309,
2020-08-23,181,1647.8657985514474,71034.61935412962,143456.36594035858,277719.44510713534,
2020-08-24,182,1588.6580453848092,70769.10631499729,143678.7175074605,279266.3929762952,
2020-08-25,183,1531.5774738825005,70503.37976089468,143895.48790580573,280796.1001689137,
2020-08-26,184,1476.547670602291,70237.45437962942,144106.64526820843,282308.0786099142,
2020-08-27,185,1423.4949652143005,69971.34475923315,144312.15860022584,283801.84295266215,
2020-08-28,186,1372.3483332156486,69705.06538704084,144511.99779058728,285276.91079528123,
2020-08-29,187,1323.0393038861423,69438.63064879978,144706.13357006546,286732.80300730234,
2020-08-30,188,1275.5018636146665,69172.05482780821,144894.5375545099,288169.0440591443,
2020-08-31,189,1229.6723687376327,68905.3521040838,145077.18229521622,289585.16235360963,
2020-09-01,190,1185.4894614133232,68638.53655355307,145254.04125579997,290980.6904628386,
2020-09-02,191,1142.8939902347272,68371.62214677937,145425.0888199102,292355.1653749086,
2020-09-03,192,1101.8289266241165,68104.62274869952,145590.30029850846,293708.12906269735,
2020-09-04,193,1062.239289509417,67837.55211809889,145749.65193669844,295039.1287021252,
2020-09-05,194,1024.0720725818367,67570.42390669712,145903.1209200912,296347.7169933627,
2020-09-06,195,987.2761758119514,67303.25165848744,146050.68538069172,297633.4524843515,
2020-09-07,196,951.802333175321,67036.04880910515,146192.32440229107,298895.89989333635,
2020-09-08,197,917.6030475529454,66768.82868522548,146328.01803164728,300134.6303698661,
2020-09-09,198,884.6325278318932,66501.60450399086,146457.74737321993,301349.2217087174,
2020-09-10,199,852.84662980875,66234.38937246757,146581.49447694307,302539.2588736257,
2020-09-11,200,822.2027937368415,65967.19628713158,146699.2423502599,303704.3342201089,
2020-09-12,201,792.6599880525242,65700.03813172683,146810.9749868475,304844.04779160494,
2020-09-13,202,764.1786549958364,65432.92767592839,146916.6773707194,305958.00761760026,
2020-09-14,203,736.7206596300238,65165.87757992619,147016.33547987833,307045.83000755124,
2020-09-15,204,710.2492358597607,64898.9003914235,147109.9362895084,308107.139812562,
2020-09-16,205,684.7289377947299,64632.00854516189,147197.4677746978,309141.5706291218,
2020-09-17,206,660.1255927364873,64365.21436256624,147278.91891268114,310148.7652089133,
2020-09-18,207,636.4062571818126,64098.53005141862,147354.27968459192,311128.3756814473,
2020-09-19,208,613.5391701879007,63831.96770556078,147423.54109590058,312080.06380846933,
2020-09-20,209,591.4937113282617,63565.5393046257,147486.69524196707,313003.5012379126,
2020-09-21,210,570.2403600514259,63299.25671379784,147543.73518473443,313898.3697505118,
2020-09-22,211,549.7506577147885,63033.131683602296,147594.65499614447,314764.36149520386,
2020-09-23,212,529.9971672938995,62767.17584972266,147639.44976715415,315601.1792038157,
2020-09-24,213,510.9534370382582,62501.40073284787,147678.1156081252,316408.5364360726,
2020-09-25,214,492.5939653406048,62235.81773854778,147710.64964878562,317186.15778583667,
2020-09-26,215,474.8941679716008,61970.438156679214,147737.05003775688,317933.77908248536,
2020-09-27,216,457.83034327577667,61705.273147311265,147757.31594164218,318651.1475843967,
2020-09-28,217,441.37964075310356,61440.33375844728,147771.44754366914,319338.02216237225,
2020-09-29,218,425.520030692983,61175.630927389655,147779.44604188224,319994.1734827213,
2020-09-30,219,410.230275892595,60911.17547517528,147781.3136732237,320619.38424256793,
2020-10-01,220,395.48990159865707,60646.97810655465,147777.0537216165,321213.44923076255,
2020-10-02,221,381.27916834490475,60383.049409997686,147766.6704515765,321776.1754888512,
2020-10-03,222,367.5790457062912,60119.3998577262,147750.1691379553,322307.38245453674,
2020-10-04,223,354.37118788818253,59856.039805773,147727.5560635363,322806.9020825174,
2020-10-05,224,341.6379077668532,59592.97949406761,147698.8385155467,323274.578953238,
2020-10-06,225,329.36215340638427,59330.229046548724,147664.02478176294,323710.27038768004,
2020-10-07,226,317.52748537513344,59067.79847130328,147623.12414620598,324113.8467394093,
2020-10-08,227,306.11805567242726,58805.69766073208,147576.14688442412,324485.1912123962,
2020-10-09,228,295.1185853135345,58543.93639174228,147523.1042583596,324824.19995032664,
2020-10-10,229,284.51434402604144,58282.524325966304,147464.00851116903,325130.7821326891,
2020-10-11,230,274.29113064604104,58021.471003514635,147398.8728974593,325404.8600133075,
2020-10-12,231,264.43525492522986,57760.7858291668,147327.71164669737,325646.36894524447,
2020-10-13,232,254.93351817769096,57500.478108562784,147250.53993810635,325855.2573917619,
2020-10-14,233,245.77319572469142,57240.55703365649,147167.3739120446,326031.48692302924,
2020-10-15,234,236.94201995333447,56981.031681139815,147078.23066319464,326175.0326150753,
2020-10-16,235,228.42816460912638,56721.91101271574,146983.12823338187,326285.8829322827,
2020-10-17,236,220.2202280881063,56463.20387539491,146882.08560402208,326364.0391829836,
2020-10-18,237,212.30721825739883,56204.91900181556,146775.1226881971,326409.5157801062,
2020-10-19,238,204.67853781537846,55947.06501058681,146662.26032235802,326422.34018826,
2020-10-20,239,197.32397072868437,55689.650406655324,146543.520257655,326402.5528571475,
2020-10-21,240,190.23366780993607,55432.6835816954,146418.92515520385,326350.20714112424,
2020-10-22,241,183.39813359184538,55176.17281452235,146288.4986194314,326265.3692046998,
2020-10-23,242,176.80821367678766,54920.12627152938,146152.26512819584,326148.1180908129,
2020-10-24,243,170.45508302491714,54664.55200714769,146010.2500325367,325998.54617798544,
2020-10-25,244,164.33023350567507,54409.45796426007,145862.479556635,325816.7580436026,
2020-10-26,245,158.42546254725795,54154.85195289113,145708.98078784053,325602.87067217065,
2020-10-27,246,152.7328622057424,53900.7416693109,145549.78166639106,325357.0133775237,
2020-10-28,247,147.24480905064306,53647.13471257655,145384.91097482567,325079.3276528146,
2020-10-29,248,141.95395342132915,53394.038570727105,145214.39832709322,324769.96700802445,
2020-10-30,249,136.85320961126226,53141.460621259124,145038.2741573581,324429.09679490625,
2020-10-31,250,131.93574642331123,52889.408131622,144856.56970850445,324056.89404557133,
2020-11-01,251,127.19497843425874,52637.88825973249,144669.31703219368,323653.54803088435,
2020-11-02,252,122.62455672340525,52386.90805450891,144476.54900167356,323219.25932871376,
2020-11-03,253,118.21836038371538,52136.47445642459,144278.2992447935,322754.2394765111,
2020-11-04,254,113.97048836158996,51886.59429808092,144074.60215124924,322258.7110067283,
2020-11-05,255,109.87525191176395,51637.274304799736,143865.4928643408,321732.9072302442,
2020-11-06,256,105.92716659706583,51388.52109523522,143651.0072685485,321177.07200995,
2020-11-07,257,102.12094494681234,51140.341182005235,143431.18197688673,320591.4595245479,
2020-11-08,258,98.45148940662693,50892.74097234205,143206.0543180379,319976.3340226144,
2020-11-09,259,94.91388582097055,50645.726764192084,142975.6623232694,319331.96992286074,
2020-11-10,260,91.50339653041578,50399.3047224076,142740.04471313604,318658.6517715144,
