date,t,s,i,r
2020-07-22,149,58999789.74037761,12524.889517404858,987685.3701049854
2020-07-23,150,58999774.227045655,11957.588701620285,988268.1842527281
2020-07-24,151,58999759.97080713,11415.441883273943,988824.5873096017
2020-07-25,152,58999746.87041019,10897.3781609946,989355.7514288169
2020-07-26,153,58999734.83268224,10402.368556890955,989862.7987608749
2020-07-27,154,58999723.77189538,9929.42468232705,990346.8034222956
2020-07-28,155,58999713.60918824,9477.597398187561,990808.7934135828
2020-07-29,156,58999704.27201602,9045.975537511089,991249.7524464736
2020-07-30,157,58999695.69364451,8633.684641775735,991670.6217137208
2020-07-31,158,58999687.81270149,8239.885674118334,992072.3016243982
2020-08-01,159,58999680.57274744,7863.773796057653,992455.6534565109
2020-08-02,160,58999673.921871886,7504.577187242076,992821.500940884
2020-08-03,161,58999667.81234605,7161.555830645968,993170.6318233174
2020-08-04,162,58999662.20028832,6834.000362240511,993503.7993494503
2020-08-05,163,58999657.04534756,6521.230966249126,993821.7236862067
2020-08-06,164,58999652.310428694,6222.5962603074095,994125.0933110097
2020-08-07,165,58999647.9614345,5937.472223431462,994414.5663420736
2020-08-08,166,58999643.967018135,5665.261171309939,994690.7718105626
2020-08-09,167,58999640.29836497,5405.39074231081,994954.3108927313
2020-08-10,168,58999636.92899417,5157.312909049199,995205.7580967869
2020-08-11,169,58999633.834567085,4920.503038468238,995445.6623944481
2020-08-12,170,58999630.99271235,4694.458978359088,995674.5483092915
2020-08-13,171,58999628.38287412,4478.700152940984,995892.9169729479
2020-08-14,172,58999625.9861637,4272.766706736446,996101.2471295708
2020-08-15,173,58999623.78522034,4076.2186790901173,996299.9961005744
2020-08-16,174,58999621.764094196,3888.6351900868244,996489.6007157214
2020-08-17,175,58999619.90813173,3709.6136650883227,996670.4782031848
2020-08-18,176,58999618.20386652,3538.769094093841,996843.0270393923
2020-08-19,177,58999616.63892723,3375.7333014695114,997007.6277713053
2020-08-20,178,58999615.20194979,3220.154248538585,997164.6438016746
2020-08-21,179,58999613.88249267,3071.6953676900175,997314.4221396432
2020-08-22,180,58999612.670963414,2930.0349141284864,997457.2941224583
2020-08-23,181,58999611.55855152,2794.8653413987818,997593.5761070829
2020-08-24,182,58999610.53716323,2665.8927052921017,997723.5701314813
2020-08-25,183,58999609.599363215,2542.836088188601,997847.5645485958
2020-08-26,184,58999608.738323025,2425.427042966567,997965.8346340085
2020-08-27,185,58999607.94777074,2313.409062697596,998078.6431665691
2020-08-28,186,58999607.22194446,2206.5370717700985,998186.2409837724
2020-08-29,187,58999606.5555531,2104.5769314786407,998288.8675154201
2020-08-30,188,58999605.94373745,2007.3049697791178,998386.7512927777
2020-08-31,189,58999605.382033736,1914.507529690079,998480.1104365787
2020-09-01,190,58999604.86634311,1825.98053373465,998569.1531231541
2020-09-02,191,58999604.392901756,1741.5290674334326,998654.0780308074
2020-09-03,192,58999603.95825234,1660.9669814782583,998735.0747661835
2020-09-04,193,58999603.559220195,1584.1165070507573,998812.3242727517
2020-09-05,194,58999603.19289044,1510.8078885402572,998885.9992210143
2020-09-06,195,58999602.856585845,1440.879032400283,998956.2643817517
2020-09-07,196,58999602.54784802,1374.1751693439026,999023.2769826291
2020-09-08,197,58999602.264419936,1310.5485309616593,999087.1870491001
2020-09-09,198,58999602.0042288,1249.8580404704965,999148.1377307235
2020-09-10,199,58999601.76537122,1191.9690161231981,999206.2656126545
2020-09-11,200,58999601.54609978,1136.7528870435738,999261.7010131789
2020-09-12,201,58999601.34480994,1084.0869217856855,999314.5682682748
2020-09-13,202,58999601.16002821,1033.8539684100217,999364.9860033834
2020-09-14,203,58999600.99040192,985.9422050852954,999413.0673929966
2020-09-15,204,58999600.83468917,940.2449019738763,999458.9204088565
2020-09-16,205,58999600.69174943,896.6601931704438,999502.6480573991
2020-09-17,206,58999600.560535744,855.0908586928646,999544.3486055643
2020-09-18,207,58999600.44008697,815.4441158425416,999584.1157971922
2020-09-19,208,58999600.329520434,777.6314198511103,999622.0390597207
2020-09-20,209,58999600.228025876,741.568272957726,999658.2037011695
2020-09-21,210,58999600.13485952,707.1740420266312,999692.6910984606
2020-09-22,211,58999600.04933833,674.3717840671127,999725.5788776057
2020-09-23,212,58999599.970835306,643.0880795773627,999756.94108512
2020-09-24,213,58999599.8987749,613.2528731961245,999786.8483519034
2020-09-25,214,58999599.83262865,584.7993212191901,999815.3680501322
2020-09-26,215,58999599.77191138,557.6636460766465,999842.564442544
2020-09-27,216,58999599.71617778,531.7849972615231,999868.498824963
2020-09-28,217,58999599.66501898,507.1053183394759,999893.2296626768
2020-09-29,218,58999599.61805963,483.56921995277446,999916.8127204234
2020-09-30,219,58999599.57495516,461.1238585526268,999939.3011862893
2020-10-01,220,58999599.5353893,439.7188203855759,999960.74579032
2020-10-02,221,58999599.49907162,419.3060106548198,999981.1949177242
2020-10-03,222,58999599.46573559,399.8395479525641,1000000.6947164525
2020-10-04,223,58999599.43513655,381.2756631622517,1000019.289200291
2020-10-05,224,58999599.40704981,363.5726029014181,1000037.020347283
2020-10-06,225,58999599.38126921,346.690537518926,1000053.9281932741
2020-10-07,226,58999599.35760546,330.5914730900361,1000070.0509214504
2020-10-08,227,58999599.33588479,315.23916725505717,1000085.4249479522
2020-10-09,228,58999599.315947704,300.59904917806074,1000100.0850031157
2020-10-10,229,58999599.297647804,286.6381429524511,1000114.0642092414
2020-10-11,230,58999599.28085068,273.32499432309453,1000127.3941549995
2020-10-12,231,58999599.26543295,260.6296010132518,1000140.1049660423
2020-10-13,232,58999599.25128137,248.5233461080387,1000152.2253725174
2020-10-14,233,58999599.23829201,236.97893433447723,1000163.7827736584
2020-10-15,234,58999599.22636941,225.9703314117538,1000174.8032991743
2020-10-16,235,58999599.21542602,215.4727061519493,1000185.3118678334
2020-10-17,236,58999599.20538141,205.46237502427732,1000195.3322435684
2020-10-18,237,58999599.196161784,195.9167493810852,1000204.8870888362
2020-10-19,238,58999599.18769941,186.81428515862783,1000213.9980154375
2020-10-20,239,58999599.179932095,178.13443471324132,1000222.6856331959
2020-10-21,240,58999599.17280276,169.8576009044381,1000230.9695963375
2020-10-22,241,58999599.16625902,161.96509339631191,1000238.8686475863
2020-10-23,242,58999599.16025279,154.43908681794986,1000246.4006603998
2020-10-24,243,58999599.15473991,147.26258081299312,1000253.5826792831
2020-10-25,244,58999599.14967987,140.4193621067733,1000260.4309580275
2020-10-26,245,58999599.14503549,133.89396816360795,1000266.9609963554
2020-10-27,246,58999599.14077261,127.67165245562681,1000273.1875749372
2020-10-28,247,58999599.136859916,121.73835151272232,1000279.1247885772
