date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-08-13,171,7969.033374196059,68357.56403920478,104230.13452736952,158119.5262352849,
2020-08-14,172,7778.03303601452,68255.51590317638,104524.21861359022,159221.9649610295,
2020-08-15,173,7591.608911501302,68153.10927667133,104817.68540420952,160328.1110136208,
2020-08-16,174,7409.651436056789,68050.34707994397,105110.52137596777,161437.90904323602,
2020-08-17,175,7232.053667795365,67947.23223767159,105402.71297580132,162551.30243669264,
2020-08-18,176,7058.7112267859475,67843.76767374005,105694.24662143247,163668.2334038083,
2020-08-19,177,6889.522221340663,67739.95631359865,105985.10870246468,164788.6428647071,
2020-08-20,178,6724.3871841026275,67635.80108423781,106275.28558153921,165912.47045388736,
2020-08-21,179,6563.209038276454,67531.304914033,106564.76359550493,167039.65453043528,
2020-08-22,180,6405.893031630744,67426.47073258892,106853.52905660152,168170.1321724085,
2020-08-23,181,6252.3466826487065,67321.3014705839,107141.56825365563,169303.83917136755,
2020-08-24,182,6102.479714652305,67215.80005961466,107428.8674532906,170440.71002706225,
2020-08-25,183,5956.2039999964845,67109.96943204118,107715.41290114906,171580.67794228077,
2020-08-26,184,5813.433529643554,67003.81252083193,108001.19082312909,172723.67481787852,
2020-08-27,185,5674.0843547085815,66897.33225940926,108286.18742663326,173869.63130880435,
2020-08-28,186,5538.074538734948,66790.53158149513,108570.3889008697,175018.47679069752,
2020-08-29,187,5405.324098833176,66683.41342095703,108853.78141589685,176170.13929208156,
2020-08-30,188,5275.7549570091915,66575.98071165416,109136.3511292909,177324.54553490996,
2020-08-31,189,5149.290912701234,66468.23638728388,109418.0841852809,178481.62093231943,
2020-09-01,190,5025.857591039884,66360.18338122837,109698.96671576246,179641.28958673033,
2020-09-02,191,4905.382400552129,66251.82462721372,109978.9848416039,180803.4742883068,
2020-09-03,192,4787.79448059292,66143.16306100682,110258.12467396505,181968.0965137874,
2020-09-04,193,4673.02465894676,66034.20161548114,110536.3723156284,183135.07642569844,
2020-09-05,194,4561.005426981147,65924.94322245092,110813.71386234282,184304.33287196202,
2020-09-06,195,4451.670893890158,65815.39081279055,111090.13540417969,185475.7833928401,
2020-09-07,196,4344.956749211865,65705.54731629135,111365.62302690149,186649.3442819687,
2020-09-08,197,4240.800215866144,65595.41566151877,111640.16281334286,187824.9304997247,
2020-09-09,198,4139.140013259258,65484.998775669956,111913.74084480411,189002.4556913393,
2020-09-10,199,4039.916334805335,65374.29958443196,112186.34320036335,190181.83220269842,
2020-09-11,200,3943.0708074710824,65263.32101184033,112457.95595197444,191362.9710839748,
2020-09-12,201,3848.5464585574737,65152.06598013818,112728.56518043751,192545.78209384173,
2020-09-13,202,3756.2876737603206,65040.537409635785,112998.15697129053,193730.17370428404,
2020-09-14,203,3666.2401650935312,64928.738218570645,113266.71741524544,194916.05310602157,
2020-09-15,204,3578.350950529617,64816.67132296794,113534.23260962802,196103.32621456007,
2020-09-16,205,3492.568318251888,64704.3396365016,113800.68865982944,197291.8976768856,
2020-09-17,206,3408.841797213741,64591.746070355795,114066.07168076948,198481.67084666857,
2020-09-18,207,3327.122119696141,64478.89353308681,114330.36779837153,199672.5477660014,
2020-09-19,208,3247.361193429572,64365.784930141184,114593.56315104906,200864.42926977543,
2020-09-20,209,3169.5120831630907,64252.42316907517,114855.64389120392,202057.21494815193,
2020-09-21,210,3093.528979079885,64138.81114989368,115116.59618673637,203250.8031534136,
2020-09-22,211,3019.3671707042863,64024.951770295294,115376.40622256654,204445.09100918449,
2020-09-23,212,2946.983013485055,63910.84792477586,115635.06020216788,205639.97442027702,
2020-09-24,213,2876.333904573341,63796.50250450147,115892.54434911204,206835.34808317895,
2020-09-25,214,2807.378266145331,63681.91839718196,116148.84490862559,208031.1054971905,
2020-09-26,215,2740.075517499359,63567.09848694494,116403.94814912946,209227.13897622345,
2020-09-27,216,2674.386051929468,63452.0456542103,116657.84034293372,210423.3396597956,
2020-09-28,217,2610.271206912563,63336.76277556543,116910.50778492221,211619.59746814915,
2020-09-29,218,2547.693243068174,63221.25272364077,117161.93681189771,212815.80117474298,
2020-09-30,219,2486.615329073824,63105.51836698615,117412.11378896981,214011.8384350771,
2020-10-01,220,2427.001517017678,62989.56256994756,117661.02511109709,215207.5957781252,
2020-10-02,221,2368.8167219008465,62873.38819254458,117908.65720463808,216402.9586209704,
2020-10-03,222,2312.026695047839,62756.99809034846,118154.99652891187,217597.81128407829,
2020-10-04,223,2256.5980058344417,62640.39511436067,118400.02957776783,218792.03700721439,
2020-10-05,224,2202.498028050654,62523.582110892225,118643.7428811647,219985.51796601454,
2020-10-06,225,2149.6949181307195,62406.56192165605,118886.12300675893,221178.13528921545,
2020-10-07,226,2098.1575969847095,62289.33738566227,119127.15656150244,222369.76907655378,
2020-10-08,227,2047.8557262914267,62171.91133568547,119366.83019324947,223560.29840788594,
2020-10-09,228,1998.7596926334234,62054.28659885904,119605.1305923729,224749.60132990312,
2020-10-10,229,1950.8405951743273,61936.46599711777,119842.04449338974,225937.55493744308,
2020-10-11,230,1904.070226431929,61818.452347086866,120077.55867659613,227124.03537258238,
2020-10-12,231,1858.4210561736743,61700.24845997198,120311.65996971133,228308.9178410063,
2020-10-13,232,1813.8662102859819,61581.8571414501,120544.33524327389,229492.07663315753,
2020-10-14,233,1770.379457001799,61463.28119156135,120775.57138212527,230673.38514603884,
2020-10-15,234,1727.9351957710508,61344.523404602,121005.35534656573,231852.71590567546,
2020-10-16,235,1686.5084402808272,61225.58656901819,121233.6741551205,233029.94059024204,
2020-10-17,236,1646.0748041796367,61106.47346730081,121460.51488027291,234204.9300538604,
2020-10-18,237,1606.6104822486914,60987.1868758814,121685.86465004769,235377.5543510731,
2020-10-19,238,1568.0922384479306,60867.729565029025,121909.71064960047,236547.68273050952,
2020-10-20,239,1530.4973958689925,60748.10429874822,122132.04012281308,237715.18367023056,
