date,t,s,i,r
2020-08-20,178,59002877.216041036,3179.1047001523484,993943.6792588441
2020-08-21,179,59002875.94380136,3032.5086531606535,994091.5475455186
2020-08-22,180,59002874.7758109,2892.6279966561783,994232.5961924753
2020-08-23,181,59002873.7035425,2759.1587697701425,994367.1376877613
2020-08-24,182,59002872.71916587,2631.810465494618,994495.4703686663
2020-08-25,183,59002871.815490015,2510.3054620159373,994617.8790480002
2020-08-26,184,59002870.985909306,2394.3784769448584,994734.635613778
2020-08-27,185,59002870.22435838,2283.7760368077843,994845.9996048429
2020-08-28,186,59002869.52526782,2178.2559713177943,994952.2187608999
2020-08-29,187,59002868.883521944,2077.5869287245396,995053.5295493683
2020-08-30,188,59002868.2944236,1981.5479071104367,995150.1576693194
2020-08-31,189,59002867.75366021,1889.9278059992168,995242.3185338264
2020-09-01,190,59002867.25727097,1802.5249987774102,995330.217730282
2020-09-02,191,59002866.801619105,1719.1469189335469,995414.05146199
2020-09-03,192,59002866.38336588,1639.609664071125,995494.0069700844
2020-09-04,193,59002865.99944535,1563.7376172769525,995570.2629374058
2020-09-05,194,59002865.64704225,1491.3630834365372,995642.9898743433
2020-09-06,195,59002865.32357225,1422.3259404048156,995712.3504873761
2020-09-07,196,59002865.02666214,1356.4733061244203,995778.500031766
2020-09-08,197,59002864.754132435,1293.6592190175356,995841.5866485834
2020-09-09,198,59002864.5039832,1233.7443297271084,995901.7516871054
2020-09-10,199,59002864.274379775,1176.595607627008,995959.130012634
2020-09-11,200,59002864.063636534,1122.0860630199595,996013.8503004764
2020-09-12,201,59002863.87020359,1070.0944794303114,996066.035317005
2020-09-13,202,59002863.692660466,1020.5051508376145,996115.8021887277
2020-09-14,203,59002863.52970444,973.2076364659332,996163.2626591232
2020-09-15,204,59002863.380138755,928.0965287764291,996208.523332497
2020-09-16,205,59002863.24286276,885.0712293018379,996251.6859079704
2020-09-17,206,59002863.116867386,844.0357263208718,996292.8474063221
2020-09-18,207,59002863.00122611,804.8983897210435,996332.1003841993
2020-09-19,208,59002862.895088784,767.5717786252161,996369.5331326253
2020-09-20,209,59002862.79767554,731.9724545513193,996405.229869934
2020-09-21,210,59002862.708269686,698.0207924215357,996439.2709379279
2020-09-22,211,59002862.62621227,665.6408100412445,996471.7329777213
2020-09-23,212,59002862.550898835,634.7600070398001,996502.6890941568
2020-09-24,213,59002862.48177617,605.3092104788917,996532.2090133857
2020-09-25,214,59002862.41833602,577.2224184768306,996560.3592455395
2020-09-26,215,59002862.36011213,550.4366582670257,996587.2032296315
