date,t,s,i,r
2020-10-03,222,58648292.35420208,22.985043171637923,1351684.6607548143
2020-10-04,223,58648292.34440254,21.409970316763076,1351686.2456272007
2020-10-05,224,58648292.33554704,19.94256798851779,1351687.7218850285
2020-10-06,225,58648292.32754475,18.575501439809308,1351689.0969538693
2020-10-07,226,58648292.32031353,17.301932810452698,1351690.3777537148
2020-10-08,227,58648292.31377918,16.1154883693652,1351691.5707325
2020-10-09,228,58648292.30787461,15.010226647514862,1351692.6818987874
2020-10-10,229,58648292.302539185,13.980609598796221,1351693.7168512624
2020-10-11,230,58648292.2977181,13.021475450688397,1351694.680806494
2020-10-12,231,58648292.29336182,12.128012947388736,1351695.578625286
2020-10-13,232,58648292.28942557,11.295738175782613,1351696.4148363105
2020-10-14,233,58648292.285868876,10.520471991002498,1351697.193659181
2020-10-15,234,58648292.28265519,9.798319641933844,1351697.9190252186
2020-10-16,235,58648292.27975146,9.125651554500292,1351698.5945970423
2020-10-17,236,58648292.277127795,8.499085130427323,1351699.2237871273
2020-10-18,237,58648292.27475722,7.915468378179559,1351699.8097744517
2020-10-19,238,58648292.272615336,7.371863948940437,1351700.3555207625
2020-10-20,239,58648292.27068009,6.865534764579196,1351700.8637851835
2020-10-21,240,58648292.26893158,6.393930435720452,1351701.337138024
2020-10-22,241,58648292.26735179,5.95467442019263,1351701.7779738337
2020-10-23,242,58648292.265924454,5.54555247558724,1351702.1885231205
2020-10-24,243,58648292.264634855,5.164501386741671,1351702.5708638036
2020-10-25,244,58648292.26346972,4.809598841114544,1351702.9269314802
2020-10-26,245,58648292.26241705,4.4790538414668415,1351703.2585291513
2020-10-27,246,58648292.26146599,4.171197658032067,1351703.5673363972
2020-10-28,247,58648292.260606736,3.8844756913590195,1351703.854917617
2020-10-29,248,58648292.25983043,3.617439522774105,1351704.1227300887
2020-10-30,249,58648292.25912908,3.3687397898330733,1351704.3721311772
2020-10-31,250,58648292.258495435,3.1371194260535002,1351704.6043851809
2020-11-01,251,58648292.257922985,2.921407293450016,1351704.820669773
2020-11-02,252,58648292.2574058,2.720512453834078,1351705.0220817951
2020-11-03,253,58648292.256938554,2.533418568890193,1351705.2096429213
2020-11-04,254,58648292.25651644,2.359178891439578,1351705.3843047186
2020-11-05,255,58648292.256135084,2.1969115030240665,1351705.5469534607
2020-11-06,256,58648292.25579057,2.045794837227113,1351705.6984146496
2020-11-07,257,58648292.25547932,1.9050636497413656,1351705.8394570847
2020-11-08,258,58648292.255198136,1.774005077365448,1351705.9707968421
2020-11-09,259,58648292.25494411,1.651955119530757,1351706.0931008249
2020-11-10,260,58648292.25471462,1.5382952859990369,1351706.2069901454
2020-11-11,261,58648292.25450731,1.4324494521961342,1351706.313043298
